Trajectories
100
	x_LWristOut			x_LWristIn			x_LHandOut			x_LHandIn			x_RHandOut			x_RHandIn			x_RThumb1			x_RThumbTip			x_RIndex2			x_RIndexTip			x_RMiddle2			x_RMiddleTip			x_RRing2			x_RRingTip			x_RPinky2			x_RPinkyTip			x_LThumb1			x_LThumbTip			x_LIndex2			x_LIndexTip			x_LMiddle2			x_LMiddleTip			x_LRing2			x_LRingTip			x_LPinky2			x_LPinkyTip
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	-770.168	1055.418	687.873	-714.969	1048.213	690.09	-766.61	1128.274	672.454	-706.994	1125.525	691.859	-794.483	-481.191	670.923	-734.317	-497.932	689.096	-702.373	-472.284	661.719	-697.851	-532.806	662.976	-742.46	-569.06	668.729	-746.862	-599.235	661.051	-763.245	-574.907	667.459	0	0	0	-798.087	-564.156	646.234	-777.288	-597.691	653.496	-800.023	-540.184	655.69	-781.708	-562.678	662.794	-675.121	1097.231	670.8	-672.133	1161.703	672.359	-700.398	1199.878	678.166	-703.455	1230.766	665.587	-716.308	1209.139	674.038	-713.425	1243.389	658.753	-734.973	1198.858	666.126	-728.916	1230.155	659.152	-758.35	1179.85	658.014	-755.035	1204.786	656.295
2	-770.175	1055.439	687.866	-714.977	1048.215	690.079	-766.619	1128.274	672.429	-706.998	1125.521	691.81	-794.432	-481.172	670.877	-734.288	-497.914	689.018	-702.334	-472.264	661.667	-697.812	-532.8	662.938	-742.385	-569.023	668.593	-746.811	-599.199	660.994	-763.21	-574.898	667.43	0	0	0	-798.06	-564.124	646.222	-777.287	-597.696	653.543	-799.985	-540.168	655.67	-781.673	-562.673	662.753	-675.146	1097.263	670.796	-672.145	1161.7	672.351	-700.446	1200.746	678.562	-703.465	1230.815	665.527	-716.684	1209.703	675.09	-713.463	1243.438	658.802	-735.003	1198.868	666.094	-728.937	1230.15	659.113	-758.377	1179.85	657.97	-755.069	1204.815	656.307
3	-770.192	1055.457	687.83	-714.973	1048.252	690.077	-766.629	1128.32	672.435	-706.999	1125.546	691.804	-794.391	-481.156	670.823	-734.248	-497.896	688.985	-702.295	-472.246	661.622	-697.764	-532.771	662.9	-742.373	-569.012	668.624	-746.32	-599.121	659.885	-763.165	-574.881	667.401	0	0	0	-798.003	-564.102	646.163	-776.892	-597.44	652.68	-799.943	-540.144	655.632	-781.614	-562.653	662.728	-675.153	1097.266	670.763	-672.152	1161.724	672.323	-700.436	1199.891	678.107	-703.491	1230.8	665.569	-716.329	1209.176	673.993	-713.473	1243.427	658.796	-735.015	1198.888	666.096	-728.969	1230.208	659.128	-758.408	1179.905	657.981	-755.073	1204.79	656.264
4	-770.206	1055.477	687.808	-715.013	1048.341	690.105	-766.645	1128.33	672.44	-707.057	1125.823	692.207	-794.343	-481.14	670.777	-734.14	-497.747	688.703	-702.276	-472.215	661.69	-697.715	-532.771	662.906	-742.372	-568.884	668.552	-746.279	-599.162	659.953	-763.323	-575.378	667.657	0	0	0	-797.968	-564.092	646.172	-776.83	-597.416	652.627	-799.13	-539.841	654.275	-780.82	-562.154	661.109	-675.114	1097.392	670.912	-672.205	1161.781	672.51	-700.499	1200.107	678.391	-703.512	1231.186	665.723	-715.863	1208.267	673.513	-713.606	1244.177	659.323	-735.025	1198.898	666.088	-728.98	1230.184	659.099	-758.269	1179.554	657.593	-755.113	1204.836	656.281
5	-770.205	1055.448	687.831	-715.011	1048.385	690.128	-766.675	1128.303	672.456	-707.099	1125.835	692.272	-794.316	-481.258	670.848	-734.103	-497.78	688.707	-702.228	-472.354	661.726	-697.724	-532.83	662.913	-742.35	-568.942	668.608	-746.334	-599.052	659.845	-763.234	-575.405	667.616	0	0	0	-797.924	-564.076	646.114	-776.803	-597.455	652.679	-799.093	-539.838	654.24	-780.794	-562.146	661.085	-675.062	1097.323	670.871	-672.25	1161.788	672.594	-700.551	1200.112	678.464	-703.563	1231.166	665.775	-715.844	1208.115	673.411	-713.575	1244.005	659.167	-735.067	1198.867	666.084	-729.003	1230.193	659.126	-758.296	1179.485	657.564	-755.17	1204.816	656.317
6	-770.229	1055.461	687.845	-715.024	1048.404	690.124	-766.684	1128.318	672.455	-707.131	1125.832	692.277	-794.276	-481.251	670.8	-734.069	-497.776	688.695	-702.206	-472.362	661.694	-697.685	-532.83	662.897	-742.326	-568.941	668.631	-746.3	-599.064	659.861	-763.194	-575.403	667.585	0	0	0	-797.887	-564.074	646.113	-776.772	-597.474	652.691	-799.074	-539.845	654.251	-780.76	-562.129	661.076	-675.051	1097.318	670.872	-672.275	1161.807	672.602	-700.562	1200.096	678.442	-703.57	1231.154	665.759	-715.836	1208.059	673.346	-713.599	1244.056	659.211	-735.087	1198.893	666.132	-729.012	1230.202	659.108	-758.334	1179.521	657.626	-755.189	1204.845	656.317
7	-770.229	1055.444	687.829	-715.048	1048.422	690.132	-766.694	1128.321	672.465	-707.129	1125.812	692.245	-794.26	-481.259	670.819	-734.049	-497.76	688.68	-702.175	-472.342	661.69	-697.673	-532.829	662.872	-742.284	-568.926	668.607	-746.225	-599.072	659.809	-763.19	-575.413	667.62	0	0	0	-797.853	-564.063	646.083	-776.744	-597.467	652.679	-799.024	-539.827	654.219	-780.741	-562.137	661.072	-675.068	1097.34	670.894	-672.281	1161.825	672.613	-700.585	1200.093	678.453	-703.578	1231.169	665.776	-715.845	1208.054	673.327	-713.605	1244.006	659.162	-735.1	1198.913	666.136	-729.02	1230.215	659.126	-758.357	1179.508	657.565	-755.222	1204.85	656.297
8	-770.242	1055.482	687.831	-715.048	1048.435	690.164	-766.71	1128.312	672.44	-707.153	1125.873	692.299	-794.217	-481.252	670.806	-734.013	-497.757	688.682	-702.146	-472.334	661.698	-697.638	-532.817	662.884	-742.25	-568.92	668.609	-746.245	-599.069	659.865	-763.167	-575.389	667.592	0	0	0	-797.824	-564.044	646.087	-776.725	-597.45	652.684	-799.006	-539.817	654.223	-780.696	-562.118	661.014	-675.071	1097.34	670.895	-672.294	1161.835	672.605	-700.613	1200.113	678.46	-703.592	1231.209	665.806	-715.888	1208.181	673.488	-713.609	1244.023	659.125	-735.104	1198.923	666.148	-729.031	1230.23	659.116	-758.362	1179.543	657.602	-755.232	1204.864	656.298
9	-770.262	1055.458	687.818	-715.071	1048.473	690.168	-766.715	1128.317	672.435	-707.171	1125.846	692.291	-794.201	-481.237	670.802	-734.001	-497.749	688.684	-702.128	-472.337	661.645	-697.608	-532.812	662.874	-742.233	-568.913	668.606	-746.206	-599.029	659.803	-763.144	-575.387	667.599	0	0	0	-797.799	-564.046	646.072	-776.71	-597.442	652.683	-798.967	-539.81	654.203	-780.685	-562.116	661.04	-675.084	1097.352	670.916	-672.294	1161.831	672.614	-700.617	1200.145	678.489	-703.608	1231.208	665.813	-715.867	1208.139	673.402	-713.617	1244.05	659.213	-735.11	1198.94	666.153	-729.06	1230.243	659.113	-758.38	1179.569	657.608	-755.251	1204.868	656.281
