Trajectories
100
	x_RWristOut			x_RWristIn			x_RHandOut			x_RHandIn			x_RThumbTip			x_RIndexTip			x_RMiddleTip			x_RRingTip			x_RPinkyTip			x_LWristOut			x_LWristIn			x_LHandOut			x_LHandIn			x_LThumbTip			x_LIndexTip			x_LMiddleTip			x_LRingTip			x_LPinkyTip
Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	-787.582	-409.925	686.609	-744.64	-412.524	689.865	-794.483	-481.191	670.923	-734.317	-497.932	689.096	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
2	-787.549	-409.917	686.549	-744.594	-412.515	689.811	-794.432	-481.172	670.877	-734.288	-497.914	689.018	-697.851	-532.806	662.976	-746.862	-599.235	661.051	0	0	0	-777.288	-597.691	653.496	-781.708	-562.678	662.794	-770.168	1055.418	687.873	-714.969	1048.213	690.09	-766.61	1128.274	672.454	-706.994	1125.525	691.859	-672.133	1161.703	672.359	-703.455	1230.766	665.587	-713.425	1243.389	658.753	-728.916	1230.155	659.152	-755.035	1204.786	656.295
3	-787.491	-409.887	686.501	-744.55	-412.481	689.758	-794.391	-481.156	670.823	-734.248	-497.896	688.985	-697.812	-532.8	662.938	-746.811	-599.199	660.994	0	0	0	-777.287	-597.696	653.543	-781.673	-562.673	662.753	-770.175	1055.439	687.866	-714.977	1048.215	690.079	-766.619	1128.274	672.429	-706.998	1125.521	691.81	-672.145	1161.7	672.351	-703.465	1230.815	665.527	-713.463	1243.438	658.802	-728.937	1230.15	659.113	-755.069	1204.815	656.307
4	-787.469	-409.875	686.452	-744.486	-412.355	689.546	-794.343	-481.14	670.777	-734.14	-497.747	688.703	-697.764	-532.771	662.9	-746.32	-599.121	659.885	0	0	0	-776.892	-597.44	652.68	-781.614	-562.653	662.728	-770.192	1055.457	687.83	-714.973	1048.252	690.077	-766.629	1128.32	672.435	-706.999	1125.546	691.804	-672.152	1161.724	672.323	-703.491	1230.8	665.569	-713.473	1243.427	658.796	-728.969	1230.208	659.128	-755.073	1204.79	656.264
5	-787.435	-410.032	686.577	-744.463	-412.444	689.581	-794.316	-481.258	670.848	-734.103	-497.78	688.707	-697.715	-532.771	662.906	-746.279	-599.162	659.953	0	0	0	-776.83	-597.416	652.627	-780.82	-562.154	661.109	-770.206	1055.477	687.808	-715.013	1048.341	690.105	-766.645	1128.33	672.44	-707.057	1125.823	692.207	-672.205	1161.781	672.51	-703.512	1231.186	665.723	-713.606	1244.177	659.323	-728.98	1230.184	659.099	-755.113	1204.836	656.281
6	-787.395	-410.026	686.554	-744.447	-412.454	689.568	-794.276	-481.251	670.8	-734.069	-497.776	688.695	-697.724	-532.83	662.913	-746.334	-599.052	659.845	0	0	0	-776.803	-597.455	652.679	-780.794	-562.146	661.085	-770.205	1055.448	687.831	-715.011	1048.385	690.128	-766.675	1128.303	672.456	-707.099	1125.835	692.272	-672.25	1161.788	672.594	-703.563	1231.166	665.775	-713.575	1244.005	659.167	-729.003	1230.193	659.126	-755.17	1204.816	656.317
7	-787.378	-410.03	686.555	-744.422	-412.441	689.578	-794.26	-481.259	670.819	-734.049	-497.76	688.68	-697.685	-532.83	662.897	-746.3	-599.064	659.861	0	0	0	-776.772	-597.474	652.691	-780.76	-562.129	661.076	-770.229	1055.461	687.845	-715.024	1048.404	690.124	-766.684	1128.318	672.455	-707.131	1125.832	692.277	-672.275	1161.807	672.602	-703.57	1231.154	665.759	-713.599	1244.056	659.211	-729.012	1230.202	659.108	-755.189	1204.845	656.317
8	-787.358	-410.034	686.561	-744.403	-412.429	689.538	-794.217	-481.252	670.806	-734.013	-497.757	688.682	-697.673	-532.829	662.872	-746.225	-599.072	659.809	0	0	0	-776.744	-597.467	652.679	-780.741	-562.137	661.072	-770.229	1055.444	687.829	-715.048	1048.422	690.132	-766.694	1128.321	672.465	-707.129	1125.812	692.245	-672.281	1161.825	672.613	-703.578	1231.169	665.776	-713.605	1244.006	659.162	-729.02	1230.215	659.126	-755.222	1204.85	656.297
9	-787.331	-410.014	686.547	-744.379	-412.419	689.546	-794.201	-481.237	670.802	-734.001	-497.749	688.684	-697.638	-532.817	662.884	-746.245	-599.069	659.865	0	0	0	-776.725	-597.45	652.684	-780.696	-562.118	661.014	-770.242	1055.482	687.831	-715.048	1048.435	690.164	-766.71	1128.312	672.44	-707.153	1125.873	692.299	-672.294	1161.835	672.605	-703.592	1231.209	665.806	-713.609	1244.023	659.125	-729.031	1230.23	659.116	-755.232	1204.864	656.298
10	-787.291	-410.02	686.539	-744.339	-412.415	689.529	-794.18	-481.239	670.823	-733.969	-497.743	688.682	-697.608	-532.812	662.874	-746.206	-599.029	659.803	0	0	0	-776.71	-597.442	652.683	-780.685	-562.116	661.04	-770.262	1055.458	687.818	-715.071	1048.473	690.168	-766.715	1128.317	672.435	-707.171	1125.846	692.291	-672.294	1161.831	672.614	-703.608	1231.208	665.813	-713.617	1244.05	659.213	-729.06	1230.243	659.113	-755.251	1204.868	656.281
11	-787.289	-410.002	686.539	-744.342	-412.424	689.55	-794.162	-481.235	670.814	-733.956	-497.72	688.693	-697.61	-532.81	662.89	-746.197	-599.038	659.844	0	0	0	-776.712	-597.465	652.792	-780.674	-562.113	661.055	-770.279	1055.495	687.831	-715.089	1048.464	690.168	-766.704	1128.235	672.33	-707.176	1125.868	692.287	-672.311	1161.871	672.648	-703.61	1231.24	665.841	-713.625	1244.055	659.178	-729.17	1230.095	659.168	-755.265	1204.908	656.334
12	-787.267	-410.003	686.563	-744.324	-412.401	689.566	-794.149	-481.232	670.831	-733.939	-497.716	688.704	-697.567	-532.796	662.899	-746.158	-599.037	659.84	0	0	0	-776.659	-597.422	652.704	-780.654	-562.119	661.067	-770.283	1055.495	687.822	-715.094	1048.475	690.184	-766.721	1128.324	672.454	-707.188	1125.853	692.31	-672.31	1161.854	672.655	-703.621	1231.25	665.849	-713.631	1244.063	659.196	-729.182	1230.101	659.183	-755.274	1204.909	656.302
13	-787.269	-409.995	686.558	-744.295	-412.394	689.55	-794.126	-481.212	670.835	-733.932	-497.71	688.718	-697.565	-532.786	662.899	-746.176	-599.03	659.864	0	0	0	-776.662	-597.426	652.757	-780.629	-562.098	661.093	-770.31	1055.512	687.851	-715.118	1048.52	690.22	-766.732	1128.342	672.457	-707.201	1125.902	692.331	-672.318	1161.867	672.681	-703.619	1231.244	665.86	-713.61	1244.077	659.207	-729.061	1230.285	659.163	-755.273	1204.907	656.297
14	-787.255	-409.975	686.573	-744.303	-412.384	689.591	-794.124	-481.21	670.852	-733.93	-497.693	688.783	-697.543	-532.772	662.913	-746.191	-599.02	659.901	0	0	0	-776.638	-597.413	652.747	-780.622	-562.087	661.115	-770.315	1055.541	687.877	-715.125	1048.496	690.191	-766.727	1128.342	672.457	-707.215	1125.88	692.31	-672.31	1161.883	672.69	-703.625	1231.268	665.891	-713.609	1244.068	659.231	-729.057	1230.309	659.214	-755.271	1204.903	656.314
15	-787.255	-409.974	686.589	-744.303	-412.385	689.616	-794.115	-481.2	670.862	-733.91	-497.68	688.796	-697.558	-532.762	662.968	-746.106	-599.039	659.883	0	0	0	-776.643	-597.423	652.82	-780.602	-562.093	661.101	-770.319	1055.54	687.874	-715.125	1048.496	690.229	-766.754	1128.362	672.481	-707.207	1125.883	692.349	-672.325	1161.869	672.687	-703.625	1231.26	665.873	-713.621	1244.1	659.265	-729.059	1230.301	659.197	-755.28	1204.927	656.339
16	-787.243	-409.961	686.595	-744.299	-412.369	689.631	-794.115	-481.19	670.877	-733.904	-497.677	688.78	-697.539	-532.771	662.977	-746.114	-599.055	659.963	0	0	0	-776.513	-597.205	652.337	-780.614	-562.081	661.153	-770.328	1055.539	687.913	-715.138	1048.512	690.255	-766.756	1128.356	672.487	-707.215	1125.892	692.361	-672.317	1161.873	672.723	-703.631	1231.274	665.914	-713.608	1244.084	659.235	-729.058	1230.259	659.168	-755.265	1204.927	656.359
17	-787.235	-409.966	686.64	-744.276	-412.355	689.627	-794.109	-481.181	670.891	-733.893	-497.671	688.83	-697.547	-532.766	663.012	-746.113	-599.033	659.936	0	0	0	-776.634	-597.395	652.829	-780.592	-562.071	661.151	-770.343	1055.582	687.925	-715.161	1048.537	690.27	-766.757	1128.356	672.505	-707.223	1125.907	692.389	-672.315	1161.883	672.756	-703.621	1231.279	665.948	-713.608	1244.103	659.292	-729.181	1230.162	659.324	-755.27	1204.938	656.402
18	-787.238	-409.945	686.643	-744.299	-412.355	689.692	-794.114	-481.176	670.939	-733.898	-497.669	688.869	-697.554	-532.766	663.037	-746.15	-599.051	660.116	0	0	0	-776.645	-597.411	652.9	-780.606	-562.065	661.181	-770.363	1055.557	687.946	-715.17	1048.542	690.302	-766.758	1128.345	672.505	-707.228	1125.91	692.419	-672.335	1161.898	672.778	-703.632	1231.3	665.987	-713.61	1244.077	659.28	-729.193	1230.182	659.374	-755.269	1204.949	656.441
19	-787.238	-409.935	686.671	-744.303	-412.358	689.708	-794.114	-481.158	670.954	-733.919	-497.664	688.92	-697.548	-532.757	663.066	-746.2	-598.968	660.038	0	0	0	-776.635	-597.394	652.888	-780.612	-562.058	661.214	-770.373	1055.581	687.959	-715.186	1048.552	690.309	-766.769	1128.382	672.531	-707.247	1125.907	692.442	-672.337	1161.911	672.805	-703.635	1231.314	666.042	-713.617	1244.122	659.37	-729.193	1230.204	659.417	-755.279	1204.938	656.456
20	-787.243	-409.937	686.71	-744.291	-412.359	689.747	-794.123	-481.162	670.996	-733.907	-497.656	688.922	-697.568	-532.774	663.109	-746.178	-599.05	660.168	0	0	0	-776.64	-597.384	652.895	-780.637	-562.05	661.278	-770.388	1055.67	688.054	-715.199	1048.555	690.329	-766.785	1128.343	672.506	-707.265	1125.929	692.478	-672.367	1161.914	672.864	-703.65	1231.341	666.111	-713.618	1244.119	659.403	-729.208	1230.223	659.456	-755.294	1204.986	656.529
21	-787.24	-409.952	686.722	-744.302	-412.351	689.777	-794.136	-481.156	671.041	-733.914	-497.656	688.971	-697.564	-532.764	663.12	-746.197	-599.031	660.19	0	0	0	-776.642	-597.377	652.933	-780.626	-562.049	661.304	-770.407	1055.611	688.03	-715.213	1048.57	690.348	-766.792	1128.342	672.554	-707.289	1125.942	692.528	-672.379	1161.932	672.919	-703.669	1231.349	666.151	-713.644	1244.124	659.456	-729.223	1230.205	659.487	-755.3	1204.969	656.53
22	-787.25	-409.921	686.784	-744.296	-412.346	689.817	-794.165	-481.148	671.13	-733.932	-497.658	689.027	-697.575	-532.773	663.149	-746.2	-599.038	660.238	0	0	0	-776.683	-597.387	653.05	-780.645	-562.047	661.361	-770.425	1055.678	688.073	-715.244	1048.567	690.37	-766.848	1128.413	672.66	-707.309	1125.957	692.577	-672.405	1161.942	672.954	-703.693	1231.332	666.18	-713.646	1244.122	659.459	-729.162	1230.431	659.569	-755.312	1204.963	656.573
23	-787.244	-409.924	686.826	-744.305	-412.352	689.849	-794.177	-481.136	671.207	-733.932	-497.659	689.066	-697.593	-532.776	663.201	-746.21	-599.06	660.246	0	0	0	-776.654	-597.343	653.017	-780.652	-562.031	661.413	-770.46	1055.684	688.133	-715.259	1048.576	690.391	-766.865	1128.424	672.691	-707.346	1125.962	692.63	-672.448	1161.963	673.017	-703.709	1231.351	666.249	-713.67	1244.118	659.526	-729.18	1230.453	659.622	-755.345	1204.97	656.583
24	-787.264	-409.925	686.887	-744.298	-412.348	689.889	-794.191	-481.131	671.278	-733.949	-497.661	689.13	-697.618	-532.788	663.237	-746.202	-599.041	660.301	0	0	0	-776.692	-597.37	653.137	-780.67	-562.035	661.484	-770.496	1055.684	688.152	-715.29	1048.594	690.436	-766.858	1128.332	672.602	-707.376	1125.962	692.638	-672.47	1161.966	673.061	-703.743	1231.341	666.269	-713.719	1244.19	659.682	-729.203	1230.415	659.63	-755.386	1205.001	656.665
25	-787.264	-409.916	686.92	-744.319	-412.347	689.95	-794.207	-481.128	671.349	-733.954	-497.656	689.17	-697.639	-532.795	663.315	-746.199	-599.027	660.332	0	0	0	-776.674	-597.355	653.137	-780.676	-562.025	661.563	-770.516	1055.701	688.178	-715.319	1048.58	690.443	-766.929	1128.389	672.706	-707.408	1125.99	692.686	-672.506	1161.971	673.089	-703.784	1231.352	666.312	-713.765	1244.211	659.751	-729.251	1230.443	659.693	-755.427	1205.006	656.711
26	-787.265	-409.932	686.986	-744.305	-412.353	689.987	-794.212	-481.126	671.426	-733.966	-497.652	689.251	-697.658	-532.804	663.411	-746.238	-599.013	660.419	0	0	0	-776.691	-597.373	653.252	-780.687	-562.029	661.65	-770.559	1055.686	688.215	-715.348	1048.59	690.472	-766.963	1128.406	672.732	-707.435	1125.982	692.714	-672.53	1161.985	673.144	-703.819	1231.34	666.336	-713.814	1244.255	659.861	-729.289	1230.443	659.752	-755.464	1205.002	656.723
27	-787.273	-409.946	687.057	-744.32	-412.357	690.028	-794.223	-481.139	671.486	-733.993	-497.663	689.351	-697.676	-532.812	663.474	-746.228	-599.011	660.492	0	0	0	-776.577	-597.168	652.852	-780.717	-562.041	661.749	-770.582	1055.687	688.222	-715.383	1048.605	690.511	-767.002	1128.453	672.811	-707.475	1126.005	692.764	-672.576	1162.027	673.195	-703.856	1231.351	666.393	-713.838	1244.225	659.863	-729.324	1230.483	659.82	-755.515	1205.005	656.761
28	-787.289	-409.942	687.096	-744.337	-412.364	690.121	-794.225	-481.132	671.563	-734.002	-497.658	689.446	-697.707	-532.824	663.601	-746.229	-598.992	660.591	0	0	0	-776.748	-597.434	653.572	-780.729	-562.049	661.83	-770.616	1055.686	688.252	-715.422	1048.604	690.527	-767.044	1128.388	672.799	-707.522	1126.018	692.818	-672.624	1162.027	673.245	-703.913	1231.37	666.435	-713.902	1244.297	659.971	-729.394	1230.469	659.831	-755.56	1205.038	656.825
29	-787.281	-409.945	687.14	-744.341	-412.353	690.16	-794.236	-481.129	671.621	-734.031	-497.655	689.544	-697.721	-532.823	663.753	-746.282	-599.014	660.784	0	0	0	-776.57	-597.146	652.994	-780.737	-562.033	661.909	-770.661	1055.685	688.249	-715.458	1048.619	690.557	-767.109	1128.443	672.865	-707.563	1126.008	692.829	-672.651	1162.04	673.284	-703.969	1231.407	666.51	-713.988	1244.332	660.069	-729.425	1230.465	659.856	-755.609	1205.047	656.884
30	-787.307	-409.939	687.229	-744.352	-412.347	690.241	-794.245	-481.149	671.7	-734.042	-497.663	689.654	-697.727	-532.834	663.864	-746.25	-599.033	660.858	0	0	0	-776.776	-597.402	653.775	-780.763	-562.054	662.038	-770.691	1055.7	688.266	-715.501	1048.637	690.591	-767.127	1128.385	672.824	-707.61	1126.011	692.838	-672.709	1162.052	673.32	-704.018	1231.421	666.551	-714.043	1244.354	660.101	-729.486	1230.505	659.925	-755.645	1204.996	656.836
31	-787.311	-409.949	687.293	-744.367	-412.35	690.308	-794.242	-481.137	671.77	-734.058	-497.674	689.764	-697.739	-532.843	664.022	-746.278	-599.016	660.954	0	0	0	-776.809	-597.406	653.934	-780.755	-562.055	662.128	-770.734	1055.699	688.279	-715.532	1048.634	690.598	-767.172	1128.408	672.878	-707.649	1126.011	692.857	-672.752	1162.049	673.346	-704.083	1231.453	666.601	-714.086	1244.33	660.142	-729.522	1230.483	659.915	-755.69	1205.022	656.871
32	-787.328	-409.958	687.356	-744.384	-412.341	690.381	-794.262	-481.167	671.874	-734.068	-497.669	689.868	-697.728	-532.846	664.126	-746.287	-599.002	661.067	0	0	0	-776.801	-597.41	654.029	-780.767	-562.07	662.236	-770.767	1055.704	688.303	-715.578	1048.653	690.61	-767.234	1128.427	672.904	-707.698	1126.02	692.888	-672.799	1162.077	673.378	-704.115	1231.419	666.595	-714.153	1244.365	660.148	-729.573	1230.47	659.911	-755.74	1205.026	656.908
33	-787.307	-409.948	687.43	-744.383	-412.349	690.468	-794.249	-481.167	671.941	-734.064	-497.658	689.968	-697.714	-532.844	664.221	-746.251	-599.043	661.153	0	0	0	-776.795	-597.42	654.104	-780.784	-562.067	662.329	-770.806	1055.704	688.31	-715.619	1048.659	690.648	-767.273	1128.44	672.92	-707.741	1126.016	692.895	-672.846	1162.089	673.403	-704.181	1231.427	666.618	-714.182	1244.371	660.174	-729.622	1230.465	659.919	-755.795	1205.032	656.914
34	-787.333	-409.955	687.505	-744.396	-412.342	690.557	-794.255	-481.179	672.005	-734.077	-497.656	690.052	-697.724	-532.856	664.316	-746.371	-598.95	661.417	0	0	0	-776.654	-597.194	653.69	-780.774	-562.074	662.419	-770.84	1055.695	688.33	-715.652	1048.645	690.66	-767.303	1128.413	672.919	-707.794	1126.046	692.93	-672.898	1162.096	673.423	-704.229	1231.443	666.633	-714.235	1244.361	660.158	-729.677	1230.494	659.95	-755.853	1205.079	656.961
35	-787.34	-409.954	687.586	-744.383	-412.354	690.626	-794.255	-481.19	672.106	-734.068	-497.647	690.127	-697.692	-532.846	664.38	-746.311	-599.067	661.432	0	0	0	-776.662	-597.218	653.812	-780.756	-562.078	662.501	-770.878	1055.7	688.35	-715.695	1048.664	690.686	-767.341	1128.419	672.963	-707.841	1126.04	692.928	-672.954	1162.097	673.453	-704.287	1231.445	666.667	-714.297	1244.351	660.139	-729.739	1230.51	659.991	-755.904	1205.026	656.891
36	-787.355	-409.966	687.657	-744.39	-412.344	690.683	-794.255	-481.189	672.185	-734.068	-497.646	690.228	-697.697	-532.849	664.451	-746.348	-599.042	661.527	0	0	0	-776.662	-597.244	653.95	-780.765	-562.075	662.611	-770.925	1055.723	688.35	-715.732	1048.656	690.69	-767.382	1128.387	672.939	-707.888	1126.011	692.943	-673.003	1162.123	673.469	-704.344	1231.477	666.69	-714.379	1244.412	660.243	-729.785	1230.504	660.011	-755.966	1205.05	656.982
37	-787.37	-409.961	687.747	-744.407	-412.344	690.785	-794.251	-481.183	672.275	-734.083	-497.65	690.307	-697.706	-532.84	664.539	-746.302	-599.064	661.673	0	0	0	-776.77	-597.435	654.475	-780.762	-562.087	662.754	-770.959	1055.717	688.354	-715.776	1048.67	690.698	-767.434	1128.406	672.947	-707.936	1126.047	692.955	-673.051	1162.14	673.494	-704.381	1231.465	666.687	-714.405	1244.353	660.151	-729.843	1230.502	660.029	-756.016	1205.061	656.973
38	-787.376	-409.963	687.828	-744.412	-412.347	690.867	-794.278	-481.184	672.364	-734.07	-497.649	690.392	-697.715	-532.855	664.616	-746.306	-599.109	661.812	0	0	0	-776.751	-597.43	654.526	-780.771	-562.084	662.837	-771.002	1055.684	688.388	-715.81	1048.673	690.709	-767.488	1128.459	673.004	-707.982	1126.038	692.953	-673.114	1162.165	673.502	-704.445	1231.489	666.7	-714.467	1244.38	660.169	-729.894	1230.513	660.017	-756.061	1205.025	656.931
39	-787.378	-409.961	687.883	-744.427	-412.353	690.946	-794.292	-481.176	672.456	-734.078	-497.634	690.461	-697.722	-532.852	664.693	-746.283	-599.068	661.865	0	0	0	-776.764	-597.446	654.636	-780.787	-562.108	662.986	-771.046	1055.707	688.39	-715.867	1048.703	690.722	-767.489	1128.228	672.749	-708.022	1126.055	692.981	-673.152	1162.162	673.515	-704.499	1231.484	666.703	-714.526	1244.397	660.222	-729.959	1230.534	660.048	-756.133	1205.08	656.985
40	-787.4	-409.959	687.939	-744.446	-412.344	691.027	-794.334	-481.155	672.575	-734.116	-497.635	690.576	-697.776	-532.867	664.857	-746.258	-599.079	661.934	0	0	0	-776.737	-597.452	654.712	-780.776	-562.086	663.01	-771.087	1055.704	688.389	-715.896	1048.705	690.728	-767.565	1128.43	672.985	-708.076	1126.107	693.021	-673.2	1162.165	673.516	-704.557	1231.496	666.722	-714.584	1244.387	660.185	-729.998	1230.546	660.051	-756.163	1205.096	657.044
41	-787.399	-409.947	687.997	-744.469	-412.348	691.103	-794.334	-481.158	672.594	-734.128	-497.629	690.631	-697.79	-532.87	664.982	-746.28	-599.064	662.044	0	0	0	-776.76	-597.452	654.846	-780.79	-562.097	663.101	-771.133	1055.731	688.428	-715.942	1048.713	690.747	-767.614	1128.47	673.045	-708.119	1126.094	693.006	-673.255	1162.191	673.537	-704.63	1231.538	666.74	-714.623	1244.408	660.184	-730.086	1230.57	660.032	-756.221	1205.142	657.065
42	-787.421	-409.944	688.032	-744.504	-412.342	691.193	-794.364	-481.161	672.681	-734.154	-497.623	690.728	-697.81	-532.872	665.078	-746.31	-599.038	662.141	0	0	0	-776.647	-597.221	654.433	-780.81	-562.093	663.201	-771.173	1055.739	688.446	-715.989	1048.732	690.749	-767.673	1128.463	673.022	-708.16	1126.09	693.003	-673.302	1162.217	673.539	-704.688	1231.54	666.747	-714.704	1244.406	660.188	-730.137	1230.552	660.031	-756.287	1205.127	657.042
43	-787.433	-409.926	688.097	-744.517	-412.344	691.26	-794.385	-481.14	672.749	-734.183	-497.629	690.803	-697.841	-532.878	665.212	-746.314	-599.056	662.202	0	0	0	-776.863	-597.491	655.192	-780.818	-562.081	663.22	-771.221	1055.75	688.457	-716.026	1048.738	690.755	-767.718	1128.472	673.031	-708.223	1126.137	693.043	-673.341	1162.224	673.525	-704.762	1231.55	666.726	-714.762	1244.439	660.18	-730.213	1230.589	660.029	-756.341	1205.153	657.07
44	-787.45	-409.917	688.145	-744.541	-412.326	691.31	-794.392	-481.153	672.813	-734.203	-497.625	690.861	-697.874	-532.875	665.317	-746.347	-599.019	662.27	0	0	0	-776.865	-597.478	655.222	-780.828	-562.072	663.303	-771.249	1055.755	688.455	-716.061	1048.771	690.781	-767.767	1128.504	673.076	-708.272	1126.137	693.014	-673.401	1162.241	673.541	-704.82	1231.576	666.741	-714.814	1244.418	660.189	-730.259	1230.558	659.972	-756.399	1205.129	657.026
45	-787.469	-409.911	688.201	-744.556	-412.326	691.353	-794.413	-481.153	672.872	-734.22	-497.637	690.927	-697.898	-532.9	665.444	-746.36	-599.02	662.333	0	0	0	-776.891	-597.477	655.334	-780.857	-562.084	663.402	-771.295	1055.76	688.468	-716.111	1048.796	690.793	-767.802	1128.467	673.048	-708.33	1126.174	693.045	-673.448	1162.262	673.537	-704.886	1231.566	666.72	-714.858	1244.399	660.111	-730.313	1230.602	659.998	-756.464	1205.131	657.033
46	-787.483	-409.919	688.253	-744.561	-412.316	691.396	-794.446	-481.144	672.941	-734.247	-497.629	691.03	-697.904	-532.898	665.492	-746.403	-599.062	662.506	0	0	0	-776.91	-597.482	655.408	-780.887	-562.077	663.483	-771.347	1055.78	688.465	-716.151	1048.781	690.788	-767.865	1128.465	673.028	-708.375	1126.181	693.046	-673.507	1162.278	673.553	-704.938	1231.573	666.739	-714.94	1244.461	660.188	-730.365	1230.629	660.034	-756.511	1205.162	657.025
47	-787.494	-409.904	688.29	-744.576	-412.325	691.454	-794.45	-481.151	672.99	-734.273	-497.642	691.105	-697.946	-532.929	665.577	-746.432	-599.056	662.571	0	0	0	-776.939	-597.473	655.488	-780.895	-562.075	663.537	-771.382	1055.781	688.483	-716.182	1048.816	690.806	-767.925	1128.519	673.067	-708.434	1126.191	693.059	-673.569	1162.275	673.543	-705.002	1231.6	666.742	-715.002	1244.455	660.149	-730.448	1230.607	659.982	-756.584	1205.178	657.026
48	-787.498	-409.907	688.331	-744.583	-412.324	691.499	-794.469	-481.144	673.045	-734.29	-497.636	691.175	-697.973	-532.931	665.607	-746.497	-599.054	662.659	0	0	0	-776.856	-597.269	655.113	-780.932	-562.077	663.638	-771.413	1055.796	688.486	-716.22	1048.823	690.827	-767.97	1128.518	673.071	-708.481	1126.223	693.067	-673.613	1162.314	673.565	-705.06	1231.6	666.715	-715.065	1244.468	660.169	-730.475	1230.659	660.005	-756.64	1205.203	657.059
49	-787.506	-409.91	688.364	-744.615	-412.339	691.554	-794.487	-481.15	673.095	-734.313	-497.633	691.248	-698.019	-532.936	665.667	-746.469	-599.126	662.726	0	0	0	-777.004	-597.486	655.664	-780.954	-562.072	663.706	-771.454	1055.803	688.474	-716.269	1048.867	690.845	-768.008	1128.523	673.104	-708.508	1126.229	693.06	-673.668	1162.356	673.56	-705.131	1231.642	666.775	-715.126	1244.51	660.194	-730.545	1230.664	660.009	-756.716	1205.182	657.008
50	-787.537	-409.911	688.414	-744.624	-412.329	691.597	-794.512	-481.145	673.136	-734.337	-497.64	691.317	-698.025	-532.949	665.702	-746.543	-599.096	662.84	0	0	0	-776.906	-597.276	655.24	-780.978	-562.063	663.743	-771.477	1055.797	688.457	-716.295	1048.86	690.82	-768.045	1128.532	673.077	-708.562	1126.235	693.062	-673.713	1162.36	673.557	-705.189	1231.66	666.745	-715.165	1244.494	660.164	-730.586	1230.684	660.005	-756.749	1205.196	657.017
51	-787.543	-409.917	688.498	-744.63	-412.333	691.644	-794.532	-481.154	673.201	-734.349	-497.638	691.36	-698.067	-532.956	665.772	-746.603	-599.09	662.898	0	0	0	-777.055	-597.477	655.747	-781.035	-562.081	663.86	-771.516	1055.804	688.44	-716.327	1048.877	690.839	-768.067	1128.537	673.09	-708.593	1126.28	693.096	-673.765	1162.41	673.571	-705.225	1231.677	666.756	-715.202	1244.491	660.153	-730.635	1230.722	660.007	-756.795	1205.235	657.035
52	-787.561	-409.93	688.557	-744.649	-412.331	691.67	-794.532	-481.149	673.236	-734.382	-497.648	691.429	-698.082	-532.97	665.805	-746.611	-599.091	662.941	0	0	0	-777.09	-597.492	655.815	-781.041	-562.101	663.922	-771.535	1055.816	688.455	-716.355	1048.902	690.832	-768.108	1128.53	673.031	-708.635	1126.284	693.066	-673.805	1162.433	673.558	-705.275	1231.678	666.753	-715.268	1244.539	660.179	-730.692	1230.704	659.993	-756.81	1205.181	656.96
53	-787.6	-409.939	688.64	-744.667	-412.329	691.723	-794.55	-481.154	673.287	-734.407	-497.641	691.467	-698.09	-532.97	665.85	-746.631	-599.08	662.988	0	0	0	-777.094	-597.479	655.852	-781.069	-562.083	663.956	-771.558	1055.786	688.391	-716.372	1048.92	690.809	-768.145	1128.584	673.068	-708.666	1126.298	693.059	-673.837	1162.437	673.559	-705.293	1231.712	666.77	-715.304	1244.569	660.186	-730.689	1230.729	660.004	-756.832	1205.189	656.941
